title,url,image_url,image_path,image_alt,org_name
Focus on Politics: Labour's GST-free strategy falls foul of the experts,https://www.rnz.co.nz/national/programmes/focusonpolitics/audio/2018903179/labour-s-gst-free-fruit-and-vege-strategy-falls-foul-of-the-experts,"https://rnz-ressh.cloudinary.com/image/upload/s--cHodeeec--/c_scale,f_auto,q_auto,w_1050/v1692320291/4L42YN3_FOCUS_ON_POLITICS_gst_jpg",rnz_chris_hipkins_and_labour_hoardings_R2D4EVCU2F.jpg,Chris Hipkins and Labour hoardings,rnz
Focus on Politics: Labour's GST-free strategy falls foul of the experts,https://www.rnz.co.nz/national/programmes/focusonpolitics/audio/2018903179/labour-s-gst-free-fruit-and-vege-strategy-falls-foul-of-the-experts,"https://rnz-ressh.cloudinary.com/image/upload/s--st3mAZoT--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_1050/v1691963292/4L4C4ML_RNZD4461_jpg",rnz_prime_minister_chris_hipkins_announces_l_56TP4Q8NES.jpg,"Prime Minister Chris Hipkins announces Labour's tax policy ahead of the 2023 general election, in Lower Hutt on 13 August, 2023.",rnz
Government announces $370m plan to help farmers reduce emissions,https://www.rnz.co.nz/news/national/496070/government-announces-370m-plan-to-help-farmers-reduce-emissions,"https://rnz-ressh.cloudinary.com/image/upload/s--AwYyYxck--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_576/v1691708882/4L8V8IH_20230517_James_Shaw0001_jpg",rnz_green_party_co-leader_james_shaw_GSX1FMXBYP.jpg,Green Party Co-Leader James Shaw,rnz
Week in Politics: NZ First gains traction while GST-free produce fails to hit the sweet spot,https://www.rnz.co.nz/news/political/496090/week-in-politics-nz-first-gains-traction-while-gst-free-produce-fails-to-hit-the-sweet-spot,"https://rnz-ressh.cloudinary.com/image/upload/s--Kxp0hvdO--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_1050/v1692312571/4L434LJ_week_jpg",rnz_chris_hipkins_and_winston_peters_SMPBZ2YZDY.jpg,Chris Hipkins and Winston Peters,rnz
Week in Politics: NZ First gains traction while GST-free produce fails to hit the sweet spot,https://www.rnz.co.nz/news/political/496090/week-in-politics-nz-first-gains-traction-while-gst-free-produce-fails-to-hit-the-sweet-spot,"https://rnz-ressh.cloudinary.com/image/upload/s--Mk1wcMVo--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_1050/v1692066045/4L48KO0_RNZD4626_jpg",rnz_prime_minister_chris_hipkins_and_other_l_K3Z4BUUPXB.jpg,Prime Minister Chris Hipkins and other Labour MPs announce four weeks paid parental leave for partners at Brooklyn Kindergarten,rnz
Week in Politics: NZ First gains traction while GST-free produce fails to hit the sweet spot,https://www.rnz.co.nz/news/political/496090/week-in-politics-nz-first-gains-traction-while-gst-free-produce-fails-to-hit-the-sweet-spot,"https://rnz-ressh.cloudinary.com/image/upload/s--sgYUHmJa--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_1050/v1690946512/4L4WIVH_RNZD3730_jpg",rnz_national_party_leader_christopher_luxon_J5CDJLDUHG.jpg,National party leader Christopher Luxon,rnz
Week in Politics: NZ First gains traction while GST-free produce fails to hit the sweet spot,https://www.rnz.co.nz/news/political/496090/week-in-politics-nz-first-gains-traction-while-gst-free-produce-fails-to-hit-the-sweet-spot,"https://rnz-ressh.cloudinary.com/image/upload/s--oIHeLrFb--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_288/v1691963246/4L4C5G5_MicrosoftTeams_image_1_png",rnz_prime_minister_chris_hipkins_announces_l_XD332RWP0I.jpg,"Prime Minister Chris Hipkins announces Labour's tax policy ahead of the 2023 general election, in Lower Hutt on 13 August, 2023.",rnz
Week in Politics: NZ First gains traction while GST-free produce fails to hit the sweet spot,https://www.rnz.co.nz/news/political/496090/week-in-politics-nz-first-gains-traction-while-gst-free-produce-fails-to-hit-the-sweet-spot,"https://rnz-ressh.cloudinary.com/image/upload/s--bDQBFaOV--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_288/v1691963191/4L4C5G5_MicrosoftTeams_image_png",rnz_prime_minister_chris_hipkins_announces_l_RA46TSAZDL.jpg,"Prime Minister Chris Hipkins announces Labour's tax policy ahead of the 2023 general election, in Lower Hutt on 13 August, 2023.",rnz
Week in Politics: NZ First gains traction while GST-free produce fails to hit the sweet spot,https://www.rnz.co.nz/news/political/496090/week-in-politics-nz-first-gains-traction-while-gst-free-produce-fails-to-hit-the-sweet-spot,"https://rnz-ressh.cloudinary.com/image/upload/s--61phsaTA--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_288/v1689741246/4L5MG27_RNZD2747_jpg",rnz_national_party_leader_christopher_luxon_SXH4IRJ6W9.jpg,National party leader Christopher Luxon,rnz
Week in Politics: NZ First gains traction while GST-free produce fails to hit the sweet spot,https://www.rnz.co.nz/news/political/496090/week-in-politics-nz-first-gains-traction-while-gst-free-produce-fails-to-hit-the-sweet-spot,"https://rnz-ressh.cloudinary.com/image/upload/s--RxoX_gUT--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_288/v1691105643/4L4WAVI_RNZD3979_jpg",rnz_a_photo_of_act_party_mps_UOZKHB4U3S.jpg,A photo of ACT party MPs,rnz
"National, ACT attack government transport plan's cost, Greens target cost to climate",https://www.rnz.co.nz/news/political/496014/national-act-attack-government-transport-plan-s-cost-greens-target-cost-to-climate,"https://rnz-ressh.cloudinary.com/image/upload/s--nbz3MnfR--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_288/v1692234882/4L43RJC_20230818023400_366A4723_JPG",rnz_prime_minister_chris_hipkins__announces__79RS2DNXXV.jpg,"Prime Minister Chris Hipkins  announces the government's plan for land transport over the next decade, prioritising more than $20 billion of funding on 14 new roads and public transport links. Announcement made on 17 August, 2023 in Auckland.",rnz
"National, ACT attack government transport plan's cost, Greens target cost to climate",https://www.rnz.co.nz/news/political/496014/national-act-attack-government-transport-plan-s-cost-greens-target-cost-to-climate,"https://rnz-ressh.cloudinary.com/image/upload/s--Rj0cYOkR--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_288/v1690771386/4L505S8_Nats_transport_png",rnz_the_national_party_reveals_its_plan_for__16BXZRD5LU.jpg,The National Party reveals its plan for transport.,rnz
Government releases 10-year transport plan for consultation,https://www.rnz.co.nz/news/political/495988/government-releases-10-year-transport-plan-for-consultation,"https://rnz-ressh.cloudinary.com/image/upload/s--dXlAUlMs--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_288/v1679957383/4LBG5GE_Caucus_3_jpg",rnz_chris_hipkins_BNERHO6DLM.jpg,Chris Hipkins,rnz
National keeps voters guessing over foreign house buyers ban,https://www.rnz.co.nz/news/political/495967/national-keeps-voters-guessing-over-foreign-house-buyers-ban,"https://rnz-ressh.cloudinary.com/image/upload/s--b7V6M5rW--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_1050/v1668466907/4LIAF9B_RNZD1685_jpg",rnz_national_party_leader_christopher_luxon_WU9WXTJNJC.jpg,National Party leader Christopher Luxon,rnz
Elizabeth Kerekere blames 'epic failure of leadership' for departure from politics,https://www.rnz.co.nz/news/political/495943/elizabeth-kerekere-blames-epic-failure-of-leadership-for-departure-from-politics,"https://rnz-ressh.cloudinary.com/image/upload/s--Bt6sToDe--/ar_16:10,c_fill,f_auto,g_auto,q_auto,w_288/v1644412618/4MD8SK6_copyright_image_258615",rnz_green_party_mp_elizabeth_kerekere_in_sel_72IFC1HJQQ.jpg,Green Party MP Elizabeth Kerekere in select committee,rnz
